uf,endereco,cidade,bairro,latitude,longitude,data_ocorrencia,hora_ocorrencia,presenca_agentes,acao_policial,unidades_policiais,motivo_principal,outros_recortes,tipo,situacao,idade,faixa_etaria,raca,genero,local,circunstancias_vitima,qualificacoes_vitima,status_servico,status_politico,posicao_politico,partido_político,posicao_agente,coorporacao_agente,status_agente,tipo_pessoa
Pernambuco,"Comunidade Loteamento 92 - Av. Dom Carlos Coelho - Vila Rica, Jaboatão dos Guararapes - PE, Brasil",JABOATAO DOS GUARARAPES,VILA RICA,-8.1256051,-35.0302912,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,18.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,PPTE,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Posto Shell - Av. Recife, San Martin, Recife - PE, 50910-380, Brasil",RECIFE,SAN MARTIN,-8.082369357806241,-34.93321489992915,2024-12-29,05:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Posto de gasolina,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Posto Shell - Av. Recife, San Martin, Recife - PE, 50910-380, Brasil",RECIFE,SAN MARTIN,-8.082369357806241,-34.93321489992915,2024-12-29,05:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,34.0,Adulto,Negra,Homem cis,Posto de gasolina,Sem identificação,PPTE,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Matriz da Luz - R. São João - Nossa Sra. da Luz, São Lourenço da Mata - PE, Brasil",SAO LOURENCO DA MATA,NOSSA SENHORA DA LUZ,-8.042825285511405,-35.10201103053486,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,17.0,Adolescente,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"R. Cel. Fernando Furtado - Iputinga, Recife - PE, 50731-284, Brasil",RECIFE,IPUTINGA,-8.04079832260638,-34.930286550074726,2024-12-28,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,,Adulto,Negra,Homem cis,Barbearia,Sem identificação,Outros,Em serviço,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Alto Dois Carneiros - R. Vinte - Dois Carneiros, Jaboatão dos Guararapes - PE, 54290-090, Brasil",JABOATAO DOS GUARARAPES,DOIS CARNEIROS,-8.1127374,-34.9657877,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,18.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Vila Pan-Americana - Jacarepaguá - Avenida Cláudio Besserman Vianna - Barra da Tijuca, Rio de Janeiro - RJ, Brasil",RIO DE JANEIRO,BARRA DA TIJUCA,-22.9730351,-43.35803689999999,2024-12-29,15:00:00,Não,Não,,Não identificado,,Pessoa,Ferida,58.0,Adulto,Não identificado,Mulher cis,Outros,Bala perdida,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Fontela - Vargem Pequena, Rio de Janeiro - RJ, 22795-711, Brasil",RIO DE JANEIRO,VARGEM PEQUENA,-22.9944043854936,-43.4458335703613,2024-12-28,21:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,34.0,Adulto,Branca,Mulher cis,Automóvel,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Fontela - Vargem Pequena, Rio de Janeiro - RJ, 22795-711, Brasil",RIO DE JANEIRO,VARGEM PEQUENA,-22.9944043854936,-43.4458335703613,2024-12-28,21:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,,Adulto,Não identificado,Não identificado,Automóvel,Sem identificação,Motorista de aplicativo,Em serviço,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Barra Grande, Vera Cruz - BA, Brasil",VERA CRUZ,VERA CRUZ,-13.0423553,-38.6905861,2024-12-29,14:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,,Adulto,Não identificado,Mulher cis,Automóvel,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Barra Grande, Vera Cruz - BA, Brasil",VERA CRUZ,VERA CRUZ,-13.0423553,-38.6905861,2024-12-29,14:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,30.0,Adulto,Negra,Homem cis,Automóvel,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Rua Lagoa dos Patos - Lagoa dos Patos - Ipitanga, Lauro de Freitas/BA, 42706-560",LAURO DE FREITAS,IPITANGA,-12.894690487432966,-38.30437052733015,2024-12-29,13:30:00,Sim,Sim,"52ª CIPM, RONDESP, BOPE ",Disputa,Bar,Pessoa,Morta,18.0,Adulto,Não identificado,Homem cis,Bar,Chacina,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
