uf,cidade,bairro,latitude,longitude,data_ocorrencia,fonte_ocorrencia,presenca_agentes,acao_policial,civis_mortos_ocorrencia,civis_feridos_ocorrencia,agentes_mortos_ocorrencia,agentes_feridos_ocorrencia,chacina_ocorrencia,motivo_principal,color,mortos_total,feridos_total,mes
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.9353782,-43.2531083,2024-04-08 06:14:00,Usuário,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,TAQUARA,-22.91094354,-43.37403875,2024-04-08 06:15:00,Usuário,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,RICARDO DE ALBUQUERQUE,-22.8311963,-43.3858821,2024-04-08 06:36:00,Polícia,Sim,Sim,,3.0,,,Não,Operação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CACHAMBI,-22.8881947,-43.27548,2024-04-08 05:42:00,Imprensa,Sim,Sim,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,4
Rio de Janeiro,QUEIMADOS,VILA PACAEMBU,-22.7177102,-43.5512643,2024-04-07 20:30:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,SANTA CRUZ,-22.9074874,-43.690889,2024-04-06 12:00:00,Imprensa,Não,Não,1.0,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,DEL CASTILHO,-22.8830902,-43.2729798,2024-04-05 12:00:00,Imprensa,Sim,Não,,,,1.0,Não,Tentativa/Roubo,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,COSTA BARROS,-22.8284063,-43.3713024,2024-04-07 12:00:00,Imprensa,Não,Não,,,,,Não,Disputa,#fe9600,,,4
Rio de Janeiro,SÃO JOÃO DE MERITI,JARDIM METROPOLE,-22.7645625,-43.3367082,2024-04-07 11:41:00,Polícia,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,SAO CRISTOVAO,-22.8912442,-43.2225924,2024-04-06 18:00:00,Imprensa,Não,Não,,,,,Não,Tentativa/Roubo,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,COELHO NETO,-22.8386111,-43.3447222,2024-04-06 20:56:00,Polícia,Sim,Sim,,4.0,,,Não,Operação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,ENGENHO DE DENTRO,-22.892176800762503,-43.29821884632111,2024-04-06 18:28:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,SÃO JOÃO DE MERITI,VILAR DOS TELES,-22.76536734643049,-43.375474119319286,2024-04-06 10:23:00,Polícia,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CAMPINHO,-22.88850342124436,-43.33970189206542,2024-04-06 13:00:00,Imprensa,Sim,Sim,,,,,Não,Tentativa/Roubo,#fe9600,,,4
Pernambuco,PAULISTA,JARDIM PAULISTA,-7.949967200000001,-34.8963375,2024-04-05 19:30:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,AFOGADOS,-8.0719944,-34.9171136,2024-04-05 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,SAO JOSE,-8.0755559,-34.8931782,2024-04-05 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Bahia,SALVADOR,CAPELINHA,-12.9322099986334,-38.48492171112734,2024-04-06 07:00:00,Imprensa,Sim,Sim,2.0,,,,Não,Ação policial,#fe9600,,,4
Bahia,SALVADOR,BROTAS,-12.979708482971017,-38.47015488380139,2024-04-05 21:00:00,Imprensa,Não,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,4
Bahia,SALVADOR,PERNAMBUES,-12.969002015767336,-38.46260268440857,2024-04-05 23:00:00,Imprensa,Não,Não,,,,,Não,Disputa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.8261299,-43.2899823,2024-04-05 23:35:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CAVALCANTI,-22.86902669,-43.31696145,2024-04-05 19:50:00,Usuário,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CAVALCANTI,-22.86902669,-43.31696145,2024-04-05 16:30:00,Usuário,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,4
Bahia,SALVADOR,SAO GONCALO,-12.95408513343781,-38.47047791746723,2024-04-05 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,GARDENIA AZUL,-22.9606591,-43.351837,2024-04-05 17:00:00,Imprensa,Não,Não,1.0,,,,Não,Disputa,#fe9600,,,4
Pernambuco,ABREU E LIMA,FOSFATO,-7.899628199999999,-34.8968986,2024-04-05 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Bahia,LAURO DE FREITAS,PORTAO,-12.860521121223066,-38.29932455755288,2024-04-05 14:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,4
